role,championId,win,allies,enemies
BOTTOM,21,1,"31,82,136,12","106,36,90,96,117"
UTILITY,12,1,"31,82,136,21","106,36,90,96,117"
TOP,106,0,"36,90,96,117","31,82,136,21,12"
JUNGLE,36,0,"106,90,96,117","31,82,136,21,12"
MIDDLE,90,0,"106,36,96,117","31,82,136,21,12"
BOTTOM,96,0,"106,36,90,117","31,82,136,21,12"
UTILITY,117,0,"106,36,90,96","31,82,136,21,12"
TOP,157,1,"238,45,21,412","98,35,127,18,115"
JUNGLE,238,1,"157,45,21,412","98,35,127,18,115"
MIDDLE,45,1,"157,238,21,412","98,35,127,18,115"
BOTTOM,21,1,"157,238,45,412","98,35,127,18,115"
UTILITY,412,1,"157,238,45,21","98,35,127,18,115"
TOP,98,0,"35,127,18,115","157,238,45,21,412"
JUNGLE,35,0,"98,127,18,115","157,238,45,21,412"
MIDDLE,127,0,"98,35,18,115","157,238,45,21,412"
BOTTOM,18,0,"98,35,127,115","157,238,45,21,412"
UTILITY,115,0,"98,35,127,18","157,238,45,21,412"
TOP,114,1,"102,131,21,526","799,517,112,901,902"
JUNGLE,102,1,"114,131,21,526","799,517,112,901,902"
MIDDLE,131,1,"114,102,21,526","799,517,112,901,902"
BOTTOM,21,1,"114,102,131,526","799,517,112,901,902"
UTILITY,526,1,"114,102,131,21","799,517,112,901,902"
TOP,799,0,"517,112,901,902","114,102,131,21,526"
JUNGLE,517,0,"799,112,901,902","114,102,131,21,526"
MIDDLE,112,0,"799,517,901,902","114,102,131,21,526"
BOTTOM,901,0,"799,517,112,902","114,102,131,21,526"
UTILITY,902,0,"799,517,112,901","114,102,131,21,526"
TOP,122,0,"233,157,221,117","86,120,75,901,74"
JUNGLE,233,0,"122,157,221,117","86,120,75,901,74"
MIDDLE,157,0,"122,233,221,117","86,120,75,901,74"
BOTTOM,221,0,"122,233,157,117","86,120,75,901,74"
UTILITY,117,0,"122,233,157,221","86,120,75,901,74"
TOP,86,1,"120,75,901,74","122,233,157,221,117"
JUNGLE,120,1,"86,75,901,74","122,233,157,221,117"
MIDDLE,75,1,"86,120,901,74","122,233,157,221,117"
BOTTOM,901,1,"86,120,75,74","122,233,157,221,117"
UTILITY,74,1,"86,120,75,901","122,233,157,221,117"
TOP,10,1,"121,103,81,57","516,799,84,222,235"
JUNGLE,121,1,"10,103,81,57","516,799,84,222,235"
MIDDLE,103,1,"10,121,81,57","516,799,84,222,235"
BOTTOM,81,1,"10,121,103,57","516,799,84,222,235"
UTILITY,57,1,"10,121,103,81","516,799,84,222,235"
TOP,516,0,"799,84,222,235","10,121,103,81,57"
JUNGLE,799,0,"516,84,222,235","10,121,103,81,57"
MIDDLE,84,0,"516,799,222,235","10,121,103,81,57"
BOTTOM,222,0,"516,799,84,235","10,121,103,81,57"
UTILITY,235,0,"516,799,84,222","10,121,103,81,57"
TOP,54,1,"107,910,119,412","14,121,163,29,432"
JUNGLE,107,1,"54,910,119,412","14,121,163,29,432"
MIDDLE,910,1,"54,107,119,412","14,121,163,29,432"
BOTTOM,119,1,"54,107,910,412","14,121,163,29,432"
UTILITY,412,1,"54,107,910,119","14,121,163,29,432"
TOP,14,0,"121,163,29,432","54,107,910,119,412"
JUNGLE,121,0,"14,163,29,432","54,107,910,119,412"
MIDDLE,163,0,"14,121,29,432","54,107,910,119,412"
BOTTOM,29,0,"14,121,163,432","54,107,910,119,412"
UTILITY,432,0,"14,121,163,29","54,107,910,119,412"
TOP,799,1,"79,112,51,902","78,254,45,145,111"
JUNGLE,79,1,"799,112,51,902","78,254,45,145,111"
MIDDLE,112,1,"799,79,51,902","78,254,45,145,111"
BOTTOM,51,1,"799,79,112,902","78,254,45,145,111"
UTILITY,902,1,"799,79,112,51","78,254,45,145,111"
TOP,78,0,"254,45,145,111","799,79,112,51,902"
JUNGLE,254,0,"78,45,145,111","799,79,112,51,902"
MIDDLE,45,0,"78,254,145,111","799,79,112,51,902"
BOTTOM,145,0,"78,254,45,111","799,79,112,51,902"
UTILITY,111,0,"78,254,45,145","799,79,112,51,902"
TOP,83,1,"799,45,63,101","9,32,105,22,80"
JUNGLE,799,1,"83,45,63,101","9,32,105,22,80"
MIDDLE,45,1,"83,799,63,101","9,32,105,22,80"
BOTTOM,63,1,"83,799,45,101","9,32,105,22,80"
UTILITY,101,1,"83,799,45,63","9,32,105,22,80"
TOP,9,0,"32,105,22,80","83,799,45,63,101"
JUNGLE,32,0,"9,105,22,80","83,799,45,63,101"
MIDDLE,105,0,"9,32,22,80","83,799,45,63,101"
BOTTOM,22,0,"9,32,105,80","83,799,45,63,101"
UTILITY,80,0,"9,32,105,22","83,799,45,63,101"
TOP,875,1,"59,38,67,12","58,24,136,96,63"
JUNGLE,59,1,"875,38,67,12","58,24,136,96,63"
MIDDLE,38,1,"875,59,67,12","58,24,136,96,63"
BOTTOM,67,1,"875,59,38,12","58,24,136,96,63"
UTILITY,12,1,"875,59,38,67","58,24,136,96,63"
TOP,58,0,"24,136,96,63","875,59,38,67,12"
JUNGLE,24,0,"58,136,96,63","875,59,38,67,12"
MIDDLE,136,0,"58,24,96,63","875,59,38,67,12"
BOTTOM,96,0,"58,24,136,63","875,59,38,67,12"
UTILITY,63,0,"58,24,136,96","875,59,38,67,12"
TOP,24,0,"904,127,29,117","67,105,142,119,526"
JUNGLE,904,0,"24,127,29,117","67,105,142,119,526"
MIDDLE,127,0,"24,904,29,117","67,105,142,119,526"
BOTTOM,29,0,"24,904,127,117","67,105,142,119,526"
UTILITY,117,0,"24,904,127,29","67,105,142,119,526"
TOP,67,1,"105,142,119,526","24,904,127,29,117"
JUNGLE,105,1,"67,142,119,526","24,904,127,29,117"
MIDDLE,142,1,"67,105,119,526","24,904,127,29,117"
BOTTOM,119,1,"67,105,142,526","24,904,127,29,117"
UTILITY,526,1,"67,105,142,119","24,904,127,29,117"
TOP,887,0,"131,101,901,267","127,106,3,15,37"
JUNGLE,131,0,"887,101,901,267","127,106,3,15,37"
MIDDLE,101,0,"887,131,901,267","127,106,3,15,37"
BOTTOM,901,0,"887,131,101,267","127,106,3,15,37"
UTILITY,267,0,"887,131,101,901","127,106,3,15,37"
TOP,127,1,"106,3,15,37","887,131,101,901,267"
JUNGLE,106,1,"127,3,15,37","887,131,101,901,267"
MIDDLE,3,1,"127,106,15,37","887,131,101,901,267"
BOTTOM,15,1,"127,106,3,37","887,131,101,901,267"
UTILITY,37,1,"127,106,3,15","887,131,101,901,267"
TOP,516,0,"33,893,145,57","887,141,3,523,526"
JUNGLE,33,0,"516,893,145,57","887,141,3,523,526"
MIDDLE,893,0,"516,33,145,57","887,141,3,523,526"
BOTTOM,145,0,"516,33,893,57","887,141,3,523,526"
UTILITY,57,0,"516,33,893,145","887,141,3,523,526"
TOP,887,1,"141,3,523,526","516,33,893,145,57"
JUNGLE,141,1,"887,3,523,526","516,33,893,145,57"
MIDDLE,3,1,"887,141,523,526","516,33,893,145,57"
BOTTOM,523,1,"887,141,3,526","516,33,893,145,57"
UTILITY,526,1,"887,141,3,523","516,33,893,145,57"
TOP,114,0,"24,55,236,111","122,32,893,202,26"
JUNGLE,24,0,"114,55,236,111","122,32,893,202,26"
MIDDLE,55,0,"114,24,236,111","122,32,893,202,26"
BOTTOM,236,0,"114,24,55,111","122,32,893,202,26"
UTILITY,111,0,"114,24,55,236","122,32,893,202,26"
TOP,122,1,"32,893,202,26","114,24,55,236,111"
JUNGLE,32,1,"122,893,202,26","114,24,55,236,111"
MIDDLE,893,1,"122,32,202,26","114,24,55,236,111"
BOTTOM,202,1,"122,32,893,26","114,24,55,236,111"
UTILITY,26,1,"122,32,893,202","114,24,55,236,111"
TOP,887,0,"59,14,901,412","48,233,112,360,111"
JUNGLE,59,0,"887,14,901,412","48,233,112,360,111"
MIDDLE,14,0,"887,59,901,412","48,233,112,360,111"
BOTTOM,901,0,"887,59,14,412","48,233,112,360,111"
UTILITY,412,0,"887,59,14,901","48,233,112,360,111"
TOP,48,1,"233,112,360,111","887,59,14,901,412"
JUNGLE,233,1,"48,112,360,111","887,59,14,901,412"
MIDDLE,112,1,"48,233,360,111","887,59,14,901,412"
BOTTOM,360,1,"48,233,112,111","887,59,14,901,412"
UTILITY,111,1,"48,233,112,360","887,59,14,901,412"
TOP,112,0,"35,99,15,201","14,81,134,51,25"
JUNGLE,35,0,"112,99,15,201","14,81,134,51,25"
MIDDLE,99,0,"112,35,15,201","14,81,134,51,25"
BOTTOM,15,0,"112,35,99,201","14,81,134,51,25"
UTILITY,201,0,"112,35,99,15","14,81,134,51,25"
TOP,14,1,"81,134,51,25","112,35,99,15,201"
JUNGLE,81,1,"14,134,51,25","112,35,99,15,201"
MIDDLE,134,1,"14,81,51,25","112,35,99,15,201"
BOTTOM,51,1,"14,81,134,25","112,35,99,15,201"
UTILITY,25,1,"14,81,134,51","112,35,99,15,201"
TOP,85,0,"203,90,145,902","266,98,69,901,267"
JUNGLE,203,0,"85,90,145,902","266,98,69,901,267"
MIDDLE,90,0,"85,203,145,902","266,98,69,901,267"
BOTTOM,145,0,"85,203,90,902","266,98,69,901,267"
UTILITY,902,0,"85,203,90,145","266,98,69,901,267"
TOP,266,1,"98,69,901,267","85,203,90,145,902"
JUNGLE,98,1,"266,69,901,267","85,203,90,145,902"
MIDDLE,69,1,"266,98,901,267","85,203,90,145,902"
BOTTOM,901,1,"266,98,69,267","85,203,90,145,902"
UTILITY,267,1,"266,98,69,901","85,203,90,145,902"
TOP,10,0,"234,43,202,89","54,245,240,55,497"
JUNGLE,234,0,"10,43,202,89","54,245,240,55,497"
MIDDLE,43,0,"10,234,202,89","54,245,240,55,497"
BOTTOM,202,0,"10,234,43,89","54,245,240,55,497"
UTILITY,89,0,"10,234,43,202","54,245,240,55,497"
TOP,54,1,"245,240,55,497","10,234,43,202,89"
JUNGLE,245,1,"54,240,55,497","10,234,43,202,89"
MIDDLE,240,1,"54,245,55,497","10,234,43,202,89"
BOTTOM,55,1,"54,245,240,497","10,234,43,202,89"
UTILITY,497,1,"54,245,240,55","10,234,43,202,89"
TOP,887,1,"950,910,67,35","23,799,157,895,518"
JUNGLE,950,1,"887,910,67,35","23,799,157,895,518"
MIDDLE,910,1,"887,950,67,35","23,799,157,895,518"
BOTTOM,67,1,"887,950,910,35","23,799,157,895,518"
UTILITY,35,1,"887,950,910,67","23,799,157,895,518"
TOP,23,0,"799,157,895,518","887,950,910,67,35"
JUNGLE,799,0,"23,157,895,518","887,950,910,67,35"
MIDDLE,157,0,"23,799,895,518","887,950,910,67,35"
BOTTOM,895,0,"23,799,157,518","887,950,910,67,35"
UTILITY,518,0,"23,799,157,895","887,950,910,67,35"
TOP,39,0,"102,157,81,40","223,28,517,222,902"
JUNGLE,102,0,"39,157,81,40","223,28,517,222,902"
MIDDLE,157,0,"39,102,81,40","223,28,517,222,902"
BOTTOM,81,0,"39,102,157,40","223,28,517,222,902"
UTILITY,40,0,"39,102,157,81","223,28,517,222,902"
TOP,223,1,"28,517,222,902","39,102,157,81,40"
JUNGLE,28,1,"223,517,222,902","39,102,157,81,40"
MIDDLE,517,1,"223,28,222,902","39,102,157,81,40"
BOTTOM,222,1,"223,28,517,902","39,102,157,81,40"
UTILITY,902,1,"223,28,517,222","39,102,157,81,40"
TOP,14,0,"120,1,22,40","875,56,99,901,43"
JUNGLE,120,0,"14,1,22,40","875,56,99,901,43"
MIDDLE,1,0,"14,120,22,40","875,56,99,901,43"
BOTTOM,22,0,"14,120,1,40","875,56,99,901,43"
UTILITY,40,0,"14,120,1,22","875,56,99,901,43"
TOP,875,1,"56,99,901,43","14,120,1,22,40"
JUNGLE,56,1,"875,99,901,43","14,120,1,22,40"
MIDDLE,99,1,"875,56,901,43","14,120,1,22,40"
BOTTOM,901,1,"875,56,99,43","14,120,1,22,40"
UTILITY,43,1,"875,56,99,901","14,120,1,22,40"
TOP,904,0,"77,45,110,902","75,233,34,81,267"
JUNGLE,77,0,"904,45,110,902","75,233,34,81,267"
MIDDLE,45,0,"904,77,110,902","75,233,34,81,267"
BOTTOM,110,0,"904,77,45,902","75,233,34,81,267"
UTILITY,902,0,"904,77,45,110","75,233,34,81,267"
TOP,75,1,"233,34,81,267","904,77,45,110,902"
JUNGLE,233,1,"75,34,81,267","904,77,45,110,902"
MIDDLE,34,1,"75,233,81,267","904,77,45,110,902"
BOTTOM,81,1,"75,233,34,267","904,77,45,110,902"
UTILITY,267,1,"75,233,34,81","904,77,45,110,902"
TOP,77,0,"91,517,18,201","58,121,31,901,267"
JUNGLE,91,0,"77,517,18,201","58,121,31,901,267"
MIDDLE,517,0,"77,91,18,201","58,121,31,901,267"
BOTTOM,18,0,"77,91,517,201","58,121,31,901,267"
UTILITY,201,0,"77,91,517,18","58,121,31,901,267"
TOP,58,1,"121,31,901,267","77,91,517,18,201"
JUNGLE,121,1,"58,31,901,267","77,91,517,18,201"
MIDDLE,31,1,"58,121,901,267","77,91,517,18,201"
BOTTOM,901,1,"58,121,31,267","77,91,517,18,201"
UTILITY,267,1,"58,121,31,901","77,91,517,18,201"
TOP,10,1,"233,103,67,350","31,30,38,15,40"
JUNGLE,233,1,"10,103,67,350","31,30,38,15,40"
MIDDLE,103,1,"10,233,67,350","31,30,38,15,40"
BOTTOM,67,1,"10,233,103,350","31,30,38,15,40"
UTILITY,350,1,"10,233,103,67","31,30,38,15,40"
TOP,31,0,"30,38,15,40","10,233,103,67,350"
JUNGLE,30,0,"31,38,15,40","10,233,103,67,350"
MIDDLE,38,0,"31,30,15,40","10,233,103,67,350"
BOTTOM,15,0,"31,30,38,40","10,233,103,67,350"
UTILITY,40,0,"31,30,38,15","10,233,103,67,350"
TOP,67,0,"98,202,145,902","39,131,157,222,37"
JUNGLE,98,0,"67,202,145,902","39,131,157,222,37"
MIDDLE,202,0,"67,98,145,902","39,131,157,222,37"
BOTTOM,145,0,"67,98,202,902","39,131,157,222,37"
UTILITY,902,0,"67,98,202,145","39,131,157,222,37"
TOP,39,1,"131,157,222,37","67,98,202,145,902"
JUNGLE,131,1,"39,157,222,37","67,98,202,145,902"
MIDDLE,157,1,"39,131,222,37","67,98,202,145,902"
BOTTOM,222,1,"39,131,157,37","67,98,202,145,902"
UTILITY,37,1,"39,131,157,222","67,98,202,145,902"
TOP,254,0,"56,61,18,80","92,54,4,21,147"
JUNGLE,56,0,"254,61,18,80","92,54,4,21,147"
MIDDLE,61,0,"254,56,18,80","92,54,4,21,147"
BOTTOM,18,0,"254,56,61,80","92,54,4,21,147"
UTILITY,80,0,"254,56,61,18","92,54,4,21,147"
TOP,92,1,"54,4,21,147","254,56,61,18,80"
JUNGLE,54,1,"92,4,21,147","254,56,61,18,80"
MIDDLE,4,1,"92,54,21,147","254,56,61,18,80"
BOTTOM,21,1,"92,54,4,147","254,56,61,18,80"
UTILITY,147,1,"92,54,4,21","254,56,61,18,80"
TOP,54,0,"76,91,235,267","904,56,238,22,16"
JUNGLE,76,0,"54,91,235,267","904,56,238,22,16"
MIDDLE,91,0,"54,76,235,267","904,56,238,22,16"
BOTTOM,235,0,"54,76,91,267","904,56,238,22,16"
UTILITY,267,0,"54,76,91,235","904,56,238,22,16"
TOP,904,1,"56,238,22,16","54,76,91,235,267"
JUNGLE,56,1,"904,238,22,16","54,76,91,235,267"
MIDDLE,238,1,"904,56,22,16","54,76,91,235,267"
BOTTOM,22,1,"904,56,238,16","54,76,91,235,267"
UTILITY,16,1,"904,56,238,22","54,76,91,235,267"
TOP,157,0,"56,38,21,267","79,75,777,99,22"
JUNGLE,56,0,"157,38,21,267","79,75,777,99,22"
MIDDLE,38,0,"157,56,21,267","79,75,777,99,22"
BOTTOM,21,0,"157,56,38,267","79,75,777,99,22"
UTILITY,267,0,"157,56,38,21","79,75,777,99,22"
TOP,79,1,"75,777,99,22","157,56,38,21,267"
JUNGLE,75,1,"79,777,99,22","157,56,38,21,267"
MIDDLE,777,1,"79,75,99,22","157,56,38,21,267"
BOTTOM,99,1,"79,75,777,22","157,56,38,21,267"
UTILITY,22,1,"79,75,777,99","157,56,38,21,267"
TOP,2,0,"238,99,895,16","266,91,112,51,518"
JUNGLE,238,0,"2,99,895,16","266,91,112,51,518"
MIDDLE,99,0,"2,238,895,16","266,91,112,51,518"
BOTTOM,895,0,"2,238,99,16","266,91,112,51,518"
UTILITY,16,0,"2,238,99,895","266,91,112,51,518"
TOP,266,1,"91,112,51,518","2,238,99,895,16"
JUNGLE,91,1,"266,112,51,518","2,238,99,895,16"
MIDDLE,112,1,"266,91,51,518","2,238,99,895,16"
BOTTOM,51,1,"266,91,112,518","2,238,99,895,16"
UTILITY,518,1,"266,91,112,51","2,238,99,895,16"
TOP,103,1,"876,39,804,11","266,234,90,800,350"
JUNGLE,876,1,"103,39,804,11","266,234,90,800,350"
MIDDLE,39,1,"103,876,804,11","266,234,90,800,350"
BOTTOM,804,1,"103,876,39,11","266,234,90,800,350"
UTILITY,11,1,"103,876,39,804","266,234,90,800,350"
TOP,266,0,"234,90,800,350","103,876,39,804,11"
JUNGLE,234,0,"266,90,800,350","103,876,39,804,11"
MIDDLE,90,0,"266,234,800,350","103,876,39,804,11"
BOTTOM,800,0,"266,234,90,350","103,876,39,804,11"
UTILITY,350,0,"266,234,90,800","103,876,39,804,11"
TOP,54,0,"56,61,81,432","799,122,84,21,89"
JUNGLE,56,0,"54,61,81,432","799,122,84,21,89"
MIDDLE,61,0,"54,56,81,432","799,122,84,21,89"
BOTTOM,81,0,"54,56,61,432","799,122,84,21,89"
UTILITY,432,0,"54,56,61,81","799,122,84,21,89"
TOP,799,1,"122,84,21,89","54,56,61,81,432"
JUNGLE,122,1,"799,84,21,89","54,56,61,81,432"
MIDDLE,84,1,"799,122,21,89","54,56,61,81,432"
BOTTOM,21,1,"799,122,84,89","54,56,61,81,432"
UTILITY,89,1,"799,122,84,21","54,56,61,81,432"
TOP,36,0,"887,13,18,902","266,203,163,202,78"
JUNGLE,887,0,"36,13,18,902","266,203,163,202,78"
MIDDLE,13,0,"36,887,18,902","266,203,163,202,78"
BOTTOM,18,0,"36,887,13,902","266,203,163,202,78"
UTILITY,902,0,"36,887,13,18","266,203,163,202,78"
TOP,266,1,"203,163,202,78","36,887,13,18,902"
JUNGLE,203,1,"266,163,202,78","36,887,13,18,902"
MIDDLE,163,1,"266,203,202,78","36,887,13,18,902"
BOTTOM,202,1,"266,203,163,78","36,887,13,18,902"
UTILITY,78,1,"266,203,163,202","36,887,13,18,902"
TOP,23,0,"131,45,21,32","58,107,103,222,37"
JUNGLE,131,0,"23,45,21,32","58,107,103,222,37"
MIDDLE,45,0,"23,131,21,32","58,107,103,222,37"
BOTTOM,21,0,"23,131,45,32","58,107,103,222,37"
UTILITY,32,0,"23,131,45,21","58,107,103,222,37"
TOP,58,1,"107,103,222,37","23,131,45,21,32"
JUNGLE,107,1,"58,103,222,37","23,131,45,21,32"
MIDDLE,103,1,"58,107,222,37","23,131,45,21,32"
BOTTOM,222,1,"58,107,103,37","23,131,45,21,32"
UTILITY,37,1,"58,107,103,222","23,131,45,21,32"
TOP,86,0,"60,39,50,267","14,11,1,804,350"
JUNGLE,60,0,"86,39,50,267","14,11,1,804,350"
MIDDLE,39,0,"86,60,50,267","14,11,1,804,350"
BOTTOM,50,0,"86,60,39,267","14,11,1,804,350"
UTILITY,267,0,"86,60,39,50","14,11,1,804,350"
TOP,14,1,"11,1,804,350","86,60,39,50,267"
JUNGLE,11,1,"14,1,804,350","86,60,39,50,267"
MIDDLE,1,1,"14,11,804,350","86,60,39,50,267"
BOTTOM,804,1,"14,11,1,350","86,60,39,50,267"
UTILITY,350,1,"14,11,1,804","86,60,39,50,267"
TOP,58,1,"120,90,136,89","106,200,238,42,143"
JUNGLE,120,1,"58,90,136,89","106,200,238,42,143"
MIDDLE,90,1,"58,120,136,89","106,200,238,42,143"
BOTTOM,136,1,"58,120,90,89","106,200,238,42,143"
UTILITY,89,1,"58,120,90,136","106,200,238,42,143"
TOP,106,0,"200,238,42,143","58,120,90,136,89"
JUNGLE,200,0,"106,238,42,143","58,120,90,136,89"
MIDDLE,238,0,"106,200,42,143","58,120,90,136,89"
BOTTOM,42,0,"106,200,238,143","58,120,90,136,89"
UTILITY,143,0,"106,200,238,42","58,120,90,136,89"
TOP,10,1,"234,131,67,902","34,91,240,51,16"
JUNGLE,234,1,"10,131,67,902","34,91,240,51,16"
MIDDLE,131,1,"10,234,67,902","34,91,240,51,16"
BOTTOM,67,1,"10,234,131,902","34,91,240,51,16"
UTILITY,902,1,"10,234,131,67","34,91,240,51,16"
TOP,34,0,"91,240,51,16","10,234,131,67,902"
JUNGLE,91,0,"34,240,51,16","10,234,131,67,902"
MIDDLE,240,0,"34,91,51,16","10,234,131,67,902"
BOTTOM,51,0,"34,91,240,16","10,234,131,67,902"
UTILITY,16,0,"34,91,240,51","10,234,131,67,902"
TOP,114,0,"233,112,50,235","23,56,136,222,43"
JUNGLE,233,0,"114,112,50,235","23,56,136,222,43"
MIDDLE,112,0,"114,233,50,235","23,56,136,222,43"
BOTTOM,50,0,"114,233,112,235","23,56,136,222,43"
UTILITY,235,0,"114,233,112,50","23,56,136,222,43"
TOP,23,1,"56,136,222,43","114,233,112,50,235"
JUNGLE,56,1,"23,136,222,43","114,233,112,50,235"
MIDDLE,136,1,"23,56,222,43","114,233,112,50,235"
BOTTOM,222,1,"23,56,136,43","114,233,112,50,235"
UTILITY,43,1,"23,56,136,222","114,233,112,50,235"
TOP,83,1,"238,777,523,267","904,799,517,51,99"
JUNGLE,238,1,"83,777,523,267","904,799,517,51,99"
MIDDLE,777,1,"83,238,523,267","904,799,517,51,99"
BOTTOM,523,1,"83,238,777,267","904,799,517,51,99"
UTILITY,267,1,"83,238,777,523","904,799,517,51,99"
TOP,904,0,"799,517,51,99","83,238,777,523,267"
JUNGLE,799,0,"904,517,51,99","83,238,777,523,267"
MIDDLE,517,0,"904,799,51,99","83,238,777,523,267"
BOTTOM,51,0,"904,799,517,99","83,238,777,523,267"
UTILITY,99,0,"904,799,517,51","83,238,777,523,267"
TOP,39,1,"234,136,51,111","36,200,26,202,555"
JUNGLE,234,1,"39,136,51,111","36,200,26,202,555"
MIDDLE,136,1,"39,234,51,111","36,200,26,202,555"
BOTTOM,51,1,"39,234,136,111","36,200,26,202,555"
UTILITY,111,1,"39,234,136,51","36,200,26,202,555"
TOP,36,0,"200,26,202,555","39,234,136,51,111"
JUNGLE,200,0,"36,26,202,555","39,234,136,51,111"
MIDDLE,26,0,"36,200,202,555","39,234,136,51,111"
BOTTOM,202,0,"36,200,26,555","39,234,136,51,111"
UTILITY,555,0,"36,200,26,202","39,234,136,51,111"
TOP,223,1,"254,901,910,40","67,5,39,45,117"
JUNGLE,254,1,"223,901,910,40","67,5,39,45,117"
MIDDLE,901,1,"223,254,910,40","67,5,39,45,117"
BOTTOM,910,1,"223,254,901,40","67,5,39,45,117"
UTILITY,40,1,"223,254,901,910","67,5,39,45,117"
TOP,67,0,"5,39,45,117","223,254,901,910,40"
JUNGLE,5,0,"67,39,45,117","223,254,901,910,40"
MIDDLE,39,0,"67,5,45,117","223,254,901,910,40"
BOTTOM,45,0,"67,5,39,117","223,254,901,910,40"
UTILITY,117,0,"67,5,39,45","223,254,901,910,40"
TOP,6,1,"76,711,22,40","39,35,84,901,16"
JUNGLE,76,1,"6,711,22,40","39,35,84,901,16"
MIDDLE,711,1,"6,76,22,40","39,35,84,901,16"
BOTTOM,22,1,"6,76,711,40","39,35,84,901,16"
UTILITY,40,1,"6,76,711,22","39,35,84,901,16"
TOP,39,0,"35,84,901,16","6,76,711,22,40"
JUNGLE,35,0,"39,84,901,16","6,76,711,22,40"
MIDDLE,84,0,"39,35,901,16","6,76,711,22,40"
BOTTOM,901,0,"39,35,84,16","6,76,711,22,40"
UTILITY,16,0,"39,35,84,901","6,76,711,22,40"
TOP,86,1,"876,238,119,26","904,421,950,910,432"
JUNGLE,876,1,"86,238,119,26","904,421,950,910,432"
MIDDLE,238,1,"86,876,119,26","904,421,950,910,432"
BOTTOM,119,1,"86,876,238,26","904,421,950,910,432"
UTILITY,26,1,"86,876,238,119","904,421,950,910,432"
TOP,904,0,"421,950,910,432","86,876,238,119,26"
JUNGLE,421,0,"904,950,910,432","86,876,238,119,26"
MIDDLE,950,0,"904,421,910,432","86,876,238,119,26"
BOTTOM,910,0,"904,421,950,432","86,876,238,119,26"
UTILITY,432,0,"904,421,950,910","86,876,238,119,26"
TOP,6,0,"143,142,119,555","85,120,54,901,111"
JUNGLE,143,0,"6,142,119,555","85,120,54,901,111"
MIDDLE,142,0,"6,143,119,555","85,120,54,901,111"
BOTTOM,119,0,"6,143,142,555","85,120,54,901,111"
UTILITY,555,0,"6,143,142,119","85,120,54,901,111"
TOP,85,1,"120,54,901,111","6,143,142,119,555"
JUNGLE,120,1,"85,54,901,111","6,143,142,119,555"
MIDDLE,54,1,"85,120,901,111","6,143,142,119,555"
BOTTOM,901,1,"85,120,54,111","6,143,142,119,555"
UTILITY,111,1,"85,120,54,901","6,143,142,119,555"
TOP,223,0,"35,68,901,133","10,59,893,222,80"
JUNGLE,35,0,"223,68,901,133","10,59,893,222,80"
MIDDLE,68,0,"223,35,901,133","10,59,893,222,80"
BOTTOM,901,0,"223,35,68,133","10,59,893,222,80"
UTILITY,133,0,"223,35,68,901","10,59,893,222,80"
TOP,10,1,"59,893,222,80","223,35,68,901,133"
JUNGLE,59,1,"10,893,222,80","223,35,68,901,133"
MIDDLE,893,1,"10,59,222,80","223,35,68,901,133"
BOTTOM,222,1,"10,59,893,80","223,35,68,901,133"
UTILITY,80,1,"10,59,893,222","223,35,68,901,133"
TOP,19,0,"887,55,360,44","8,266,777,143,40"
JUNGLE,887,0,"19,55,360,44","8,266,777,143,40"
MIDDLE,55,0,"19,887,360,44","8,266,777,143,40"
BOTTOM,360,0,"19,887,55,44","8,266,777,143,40"
UTILITY,44,0,"19,887,55,360","8,266,777,143,40"
TOP,8,1,"266,777,143,40","19,887,55,360,44"
JUNGLE,266,1,"8,777,143,40","19,887,55,360,44"
MIDDLE,777,1,"8,266,143,40","19,887,55,360,44"
BOTTOM,143,1,"8,266,777,40","19,887,55,360,44"
UTILITY,40,1,"8,266,777,143","19,887,55,360,44"
TOP,897,0,"20,800,51,111","36,887,13,22,201"
JUNGLE,20,0,"897,800,51,111","36,887,13,22,201"
MIDDLE,800,0,"897,20,51,111","36,887,13,22,201"
BOTTOM,51,0,"897,20,800,111","36,887,13,22,201"
UTILITY,111,0,"897,20,800,51","36,887,13,22,201"
TOP,36,1,"887,13,22,201","897,20,800,51,111"
JUNGLE,887,1,"36,13,22,201","897,20,800,51,111"
MIDDLE,13,1,"36,887,22,201","897,20,800,51,111"
BOTTOM,22,1,"36,887,13,201","897,20,800,51,111"
UTILITY,201,1,"36,887,13,22","897,20,800,51,111"
TOP,516,1,"104,777,55,117","24,141,112,901,16"
JUNGLE,104,1,"516,777,55,117","24,141,112,901,16"
MIDDLE,777,1,"516,104,55,117","24,141,112,901,16"
BOTTOM,55,1,"516,104,777,117","24,141,112,901,16"
UTILITY,117,1,"516,104,777,55","24,141,112,901,16"
TOP,24,0,"141,112,901,16","516,104,777,55,117"
JUNGLE,141,0,"24,112,901,16","516,104,777,55,117"
MIDDLE,112,0,"24,141,901,16","516,104,777,55,117"
BOTTOM,901,0,"24,141,112,16","516,104,777,55,117"
UTILITY,16,0,"24,141,112,901","516,104,777,55,117"
TOP,39,1,"517,950,202,63","58,20,34,21,25"
JUNGLE,517,1,"39,950,202,63","58,20,34,21,25"
MIDDLE,950,1,"39,517,202,63","58,20,34,21,25"
BOTTOM,202,1,"39,517,950,63","58,20,34,21,25"
UTILITY,63,1,"39,517,950,202","58,20,34,21,25"
TOP,58,0,"20,34,21,25","39,517,950,202,63"
